segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
PRADERA,192.168.24.71,OFICINA PRINCIPAL PRADERA,True,False,,,2026-02-03T16:04:20.735048,454220.613346,False,ttl_ok
PRADERA,192.168.24.69,ALTOS DE LA PRADERA,True,False,,,2026-02-03T16:04:20.745883,,True,ttl_ok
PRADERA,192.168.24.31,MAXITODO2,True,False,,,2026-02-03T16:04:20.747140,454220.625438,False,ttl_ok
PRADERA,192.168.24.81,BINGO LA SEXTA,True,False,,,2026-02-03T16:04:20.756621,454220.634919,False,ttl_ok
PRADERA,192.168.24.79,COMUNEROS II,True,False,,,2026-02-03T16:04:20.767458,454220.645756,False,ttl_ok
PRADERA,192.168.24.61,LA 14 PRADERA,True,False,,,2026-02-03T16:04:20.770115,,True,ttl_ok
PRADERA,192.168.24.13,PANCHINITA II,True,False,,,2026-02-03T16:04:20.785704,454220.664002,False,ttl_ok
PRADERA,192.168.24.75,COMUNEROS I,True,False,,,2026-02-03T16:04:20.787518,,True,ttl_ok
PRADERA,192.168.24.73,OFICINA PRINCIPAL 2 PRADERA,True,False,,,2026-02-03T16:04:20.802017,454220.680315,False,ttl_ok
PRADERA,192.168.24.57,PUERTO NUEVO,True,False,,,2026-02-03T16:04:20.805545,454220.683843,False,ttl_ok
PRADERA,192.168.24.53,MANHATAN,True,False,,,2026-02-03T16:04:20.805709,454220.684007,False,ttl_ok
PRADERA,192.168.24.67,EL MANANTIAL,True,False,,,2026-02-03T16:04:20.828652,454220.70695,False,ttl_ok
PRADERA,192.168.24.41,PARQUE PRINCIPAL 2,True,False,,,2026-02-03T16:04:20.839707,454220.718005,False,ttl_ok
PRADERA,192.168.24.43,PARQUE RECREACIONAL,True,False,,,2026-02-03T16:04:20.839925,454220.718223,False,ttl_ok
PRADERA,192.168.24.33,PUERTAS DEL SOL BERLIN,True,False,,,2026-02-03T16:04:20.840017,90823.934829,False,ttl_ok
PRADERA,192.168.24.11,LA LIBERTAD I PRADERA,True,False,,,2026-02-03T16:04:20.842446,85731.01305,False,ttl_ok
PRADERA,192.168.25.28,CAJEROS PRADERA MICROSEGUROS,True,False,,,2026-02-03T16:04:20.866595,83264.487828,False,ttl_ok
PRADERA,192.168.24.29,LA BODEGA,True,False,,,2026-02-03T16:04:20.873339,454220.751637,False,ttl_ok
PRADERA,192.168.24.103,LOMITAS 1 PRADERA,True,False,,,2026-02-03T16:04:20.876210,,True,ttl_ok
PRADERA,192.168.24.21,EL CAIRO,True,False,,,2026-02-03T16:04:20.876317,454220.754615,False,ttl_ok
PRADERA,192.168.24.95,LA COLINA 2,True,False,,,2026-02-03T16:04:20.880469,,True,ttl_ok
PRADERA,192.168.24.37,OFICINA BERLIN,True,False,,,2026-02-03T16:04:20.891699,454220.769997,False,ttl_ok
PRADERA,192.168.24.83,LA LABRANZA PRADERA,True,False,,,2026-02-03T16:04:20.897871,454220.776169,False,ttl_ok
PRADERA,192.168.24.17,AGUSTIN,True,False,,,2026-02-03T16:04:20.906557,454220.784855,False,ttl_ok
PRADERA,192.168.24.65,LA CIGARRA PRADERA,True,False,,,2026-02-03T16:04:20.909581,454220.787879,False,ttl_ok
PRADERA,192.168.24.27,PARQUE PRINCIPAL,True,False,,,2026-02-03T16:04:20.918178,454220.796476,False,ttl_ok
PRADERA,192.168.24.25,LA INGLESA,True,False,,,2026-02-03T16:04:20.920418,454220.798716,False,ttl_ok
PRADERA,192.168.24.49,TATA PRADERA,True,False,,,2026-02-03T16:04:20.943174,454220.821472,False,ttl_ok
PRADERA,192.168.24.19,LICORERA LA 8,False,False,,,2026-02-03T16:04:24.118977,,False,win_fail_rc=0
PRADERA,192.168.24.39,TAT DAHIAM COMUNICACIONES,False,False,,,2026-02-03T16:04:24.199205,,False,win_fail_rc=0
PRADERA,192.168.24.87,LA MARIA PRADERA,False,False,,,2026-02-03T16:04:24.280073,,False,win_fail_rc=0
PRADERA,192.168.24.23,ALTO EL CASTILLO,False,False,,,2026-02-03T16:04:24.280207,,False,win_fail_rc=0
PRADERA,192.168.24.59,LA RICAURTE,False,False,,,2026-02-03T16:04:24.282092,,False,win_fail_rc=0
