segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
AMAIME Y EL PLACER,192.168.12.41,AMAIME I,True,False,,,2026-01-30T14:17:52.620506,102232.498804,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.65,COOMSAVAL,True,False,,,2026-01-30T14:17:52.620670,102232.498968,False,ttl_ok
CANDELARIA,10.100.1.4,TAT ANTARES V.GORGONA,True,False,,,2026-01-30T14:17:52.621283,102232.499581,False,ttl_ok
CANDELARIA,192.168.40.161,TAT DALIAS,True,False,,,2026-01-30T14:17:52.629025,102232.507323,False,ttl_ok
CANDELARIA,192.168.40.12,ADMINISTRATIVO CARMELO,True,False,,,2026-01-30T14:17:52.629655,102232.507953,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.103,BOYACA,True,False,,,2026-01-30T14:17:52.632998,102232.511296,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.11,OFICINA PRINCIPAL AMAIME,True,False,,,2026-01-30T14:17:52.638023,102232.516321,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.27,MALL CENTER AMAIME,True,False,,,2026-01-30T14:17:52.642527,102232.520825,False,ttl_ok
CANDELARIA,192.168.40.17,LA VIRGEN V.GORGONA,True,False,,,2026-01-30T14:17:52.642658,102232.520956,False,ttl_ok
CANDELARIA,192.168.40.105,VARIEDADES ALDEA CAMPEST,True,False,,,2026-01-30T14:17:52.648362,102232.52666,False,ttl_ok
CANDELARIA,192.168.40.81,TAT TIENDA LA VICTORIA V.GORG,True,False,,,2026-01-30T14:17:52.648550,102232.526848,False,ttl_ok
CANDELARIA,192.168.40.159,CORRESPONSAL DALIAS,True,False,,,2026-01-30T14:17:52.649491,102232.527789,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.45,ESCUELA AMAIME,True,False,,,2026-01-30T14:17:52.652580,102232.530878,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.35,TIENDA JOEL,True,False,,,2026-01-30T14:17:52.655099,102232.533397,False,ttl_ok
CANDELARIA,192.168.40.99,AVENIDA LA VICTORIA V.GORG,True,False,,,2026-01-30T14:17:52.655359,102232.533657,False,ttl_ok
CANDELARIA,192.168.40.29,OFICINA 20 JULIO V.GORg,True,False,,,2026-01-30T14:17:52.655504,102232.533802,False,ttl_ok
CANDELARIA,192.168.40.147,T.A.T BELEN GORG,True,False,,,2026-01-30T14:17:52.655601,102232.533899,False,ttl_ok
CANDELARIA,192.168.40.27,LOS ANGELES V.GORGONA,True,False,,,2026-01-30T14:17:52.663623,102232.541921,False,ttl_ok
AMAIME Y EL PLACER,192.168.22.35,LA PAMPA,True,False,,,2026-01-30T14:17:52.666082,,True,ttl_ok
AMAIME Y EL PLACER,192.168.12.37,MERCAHOGAR,True,False,,,2026-01-30T14:17:52.677870,102232.556168,False,ttl_ok
CANDELARIA,192.168.40.107,EL SAMAN GORGONA V.GORG,True,False,,,2026-01-30T14:17:52.689246,102232.567544,False,ttl_ok
