segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
CANDELARIA,192.168.40.23,LA MARIA V.GORGONA,True,False,,,2026-02-02T16:15:20.394367,21564.247982,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.61,LA PALOMERA,True,False,,,2026-02-02T16:15:20.413222,368480.29152,False,ttl_ok
CANDELARIA,192.168.40.81,TAT TIENDA LA VICTORIA V.GORG,True,False,,,2026-02-02T16:15:20.419511,368480.297809,False,ttl_ok
CANDELARIA,192.168.40.105,VARIEDADES ALDEA CAMPEST,True,False,,,2026-02-02T16:15:20.431099,368480.309397,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.103,BOYACA,True,False,,,2026-02-02T16:15:20.439065,368480.317363,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.73,TRIUNFO  II,True,False,,,2026-02-02T16:15:20.439210,2893.997628,False,ttl_ok
CANDELARIA,192.168.40.12,ADMINISTRATIVO CARMELO,True,False,,,2026-02-02T16:15:20.442826,368480.321124,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.45,ESCUELA AMAIME,True,False,,,2026-02-02T16:15:20.450246,368480.328544,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.53,PORVENIR DE COMFANDI AMAIME,True,False,,,2026-02-02T16:15:20.463083,368480.341381,False,ttl_ok
CANDELARIA,192.168.40.107,EL SAMAN GORGONA V.GORG,True,False,,,2026-02-02T16:15:20.465768,,True,ttl_ok
CANDELARIA,192.168.40.99,AVENIDA LA VICTORIA V.GORG,True,False,,,2026-02-02T16:15:20.469243,368480.347541,False,ttl_ok
CANDELARIA,192.168.40.159,CORRESPONSAL DALIAS,True,False,,,2026-02-02T16:15:20.474696,368480.352994,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.71,TIENDA GAVIOTA,True,False,,,2026-02-02T16:15:20.479825,368480.358123,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.67,EL OVIEDO I,True,False,,,2026-02-02T16:15:20.482933,368480.361231,False,ttl_ok
CANDELARIA,192.168.40.27,LOS ANGELES V.GORGONA,True,False,,,2026-02-02T16:15:20.498907,368480.377205,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.11,OFICINA PRINCIPAL AMAIME,True,False,,,2026-02-02T16:15:20.506393,368480.384691,False,ttl_ok
CANDELARIA,192.168.40.17,LA VIRGEN V.GORGONA,True,False,,,2026-02-02T16:15:20.511158,368480.389456,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.27,MALL CENTER AMAIME,True,False,,,2026-02-02T16:15:20.515888,368480.394186,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.47,EL GALEON,True,False,,,2026-02-02T16:15:20.516037,,True,ttl_ok
AMAIME Y EL PLACER,192.168.12.31,LOS PARRALES,True,False,,,2026-02-02T16:15:20.527859,368480.406157,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.41,AMAIME I,True,False,,,2026-02-02T16:15:20.530553,368480.408851,False,ttl_ok
CANDELARIA,192.168.40.161,TAT DALIAS,True,False,,,2026-02-02T16:15:20.534893,368480.413191,False,ttl_ok
AMAIME Y EL PLACER,192.168.22.35,LA PAMPA,True,False,,,2026-02-02T16:15:20.543485,7342.156915,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.23,ANTIGUA PPAL AMAIME,True,False,,,2026-02-02T16:15:20.544378,368480.422676,False,ttl_ok
CANDELARIA,192.168.40.13,OFI PPAL V.GORGONA,True,False,,,2026-02-02T16:15:20.547552,368480.42585,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.37,MERCAHOGAR,True,False,,,2026-02-02T16:15:20.558556,368480.436854,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.65,COOMSAVAL,True,False,,,2026-02-02T16:15:20.574251,368480.452549,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.35,TIENDA JOEL,True,False,,,2026-02-02T16:15:20.579502,,True,ttl_ok
CANDELARIA,192.168.40.29,OFICINA 20 JULIO V.GORg,True,False,,,2026-02-02T16:15:20.588642,368480.46694,False,ttl_ok
CANDELARIA,192.168.40.147,T.A.T BELEN GORG,True,False,,,2026-02-02T16:15:20.593659,368480.471957,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.25,CALLE COMERCIO,True,False,,,2026-02-02T16:15:20.598377,27165.694622,False,ttl_ok
CANDELARIA,192.168.40.141,BODEGA 2 CAVASA,True,False,,,2026-02-02T16:15:20.600422,368480.47872,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.77,CARERRA 3 AMAIME,True,False,,,2026-02-02T16:15:20.722655,368480.600953,False,ttl_ok
CANDELARIA,192.168.40.123,CENTRAL V.GORGONA,True,False,,,2026-02-02T16:15:20.744404,368480.622702,False,ttl_ok
CANDELARIA,192.168.40.21,IGLESIA V.GORGONA,True,False,,,2026-02-02T16:15:20.753964,368480.632262,False,ttl_ok
CANDELARIA,192.168.40.39,TELECOM CARMELO,True,False,,,2026-02-02T16:15:20.793885,368480.672183,False,ttl_ok
CANDELARIA,192.168.42.19,LA TORRE JUANCHITO,True,False,,,2026-02-02T16:15:20.804011,368480.682309,False,ttl_ok
CANDELARIA,192.168.42.15,TRANSITO JUANCHITO,True,False,,,2026-02-02T16:15:20.805055,368480.683353,False,ttl_ok
CANDELARIA,192.168.42.29,INTERNET CCAMPO,True,False,,,2026-02-02T16:15:20.814641,368480.692939,False,ttl_ok
CANDELARIA,192.168.42.17,CALLEJON PEREIRA JUANCHITO,True,False,,,2026-02-02T16:15:20.820417,5083.915229,False,ttl_ok
CANDELARIA,192.168.40.153,CORRESPONSAL CAMPESTRE,True,False,,,2026-02-02T16:15:20.824293,368480.702591,False,ttl_ok
CANDELARIA,192.168.40.10,CAJEROS CANDEL MICROSEGUROS,True,False,,,2026-02-02T16:15:20.835914,368480.714212,False,ttl_ok
CANDELARIA,192.168.42.43,ALMENDROS CCAMPO,True,False,,,2026-02-02T16:15:20.836148,368480.714446,False,ttl_ok
CANDELARIA,192.168.42.39,T.A.T LA CRUZ,True,False,,,2026-02-02T16:15:20.839655,368480.717953,False,ttl_ok
CANDELARIA,192.168.42.37,T.A.T CUDAD DEL CAMPO ESQUINA,True,False,,,2026-02-02T16:15:20.847826,368480.726124,False,ttl_ok
CANDELARIA,192.168.40.25,COMERCIO V.GORGONA,True,False,,,2026-02-02T16:15:20.853815,363573.707533,False,ttl_ok
CANDELARIA,192.168.42.45,AVENIDA CCAMPO,True,False,,,2026-02-02T16:15:20.867769,368480.746067,False,ttl_ok
CANDELARIA,192.168.42.25,LA COLMENITA CCAMPO,True,False,,,2026-02-02T16:15:20.871112,368480.74941,False,ttl_ok
CANDELARIA,192.168.40.53,SAN JUAQUIN (CAND),True,False,,,2026-02-02T16:15:20.895116,368480.773414,False,ttl_ok
CANDELARIA,192.168.40.63,CAMPI DELICIAS POBLADO,True,False,,,2026-02-02T16:15:20.896665,368480.774963,False,ttl_ok
CANDELARIA,192.168.40.61,PANADERIA POBLADO,True,False,,,2026-02-02T16:15:20.898323,368480.776621,False,ttl_ok
CANDELARIA,192.168.40.97,MANZANARES I POBLADO,True,False,,,2026-02-02T16:15:20.931556,21564.785171,False,ttl_ok
CANDELARIA,192.168.40.41,AGUILA ROJA CARMELO,True,False,,,2026-02-02T16:15:20.931702,368480.81,False,ttl_ok
CANDELARIA,192.168.40.119,T.A.T HAY CHAVELA TIENDA POBLA,True,False,,,2026-02-02T16:15:20.934306,368480.812604,False,ttl_ok
CANDELARIA,192.168.40.137,LA ROSELA POBLADO,True,False,,,2026-02-02T16:15:20.959762,21564.813377,False,ttl_ok
CANDELARIA,192.168.40.129,TAT BATARA POBLADO,True,False,,,2026-02-02T16:15:20.969364,368480.847662,False,ttl_ok
CANDELARIA,192.168.40.65,TAT CASA VERDE POBLADO,True,False,,,2026-02-02T16:15:21.030580,368480.908878,False,ttl_ok
CANDELARIA,192.168.40.155,CORRESPONSAL CARMELO JARDIN,True,False,,,2026-02-02T16:15:21.053226,368480.931524,False,ttl_ok
CANDELARIA,192.168.36.30,T.A.T CIUDAD DEL VALLE,True,False,,,2026-02-02T16:15:21.054030,368480.932328,False,ttl_ok
CANDELARIA,192.168.40.139,LA ARBOLEDA POBLADO,True,False,,,2026-02-02T16:15:21.088333,368480.966631,False,ttl_ok
CANDELARIA,192.168.40.91,RENDIDOR POBLADO,True,False,,,2026-02-02T16:15:21.110795,7342.724225,False,ttl_ok
CANDELARIA,192.168.40.75,EXPENDIDO PAPA CABUYAL,True,False,,,2026-02-02T16:15:21.121082,368480.99938,False,ttl_ok
CANDELARIA,192.168.26.104,LA TABERNA REGINA,True,False,,,2026-02-02T16:15:21.153302,368481.0316,False,ttl_ok
CANDELARIA,192.168.27.74,TAT PROCURADURIA (CAND),True,False,,,2026-02-02T16:15:21.174908,368481.053206,False,ttl_ok
CANDELARIA,192.168.27.66,ESTANCO (CAND),True,False,,,2026-02-02T16:15:21.188448,5084.28326,False,ttl_ok
CANDELARIA,192.168.27.62,SAN CRISTOBAL (CAND),True,False,,,2026-02-02T16:15:21.204223,368481.082521,False,ttl_ok
CANDELARIA,192.168.28.100,OFICINA PRINCIPAL (CAND),True,False,,,2026-02-02T16:15:21.208431,5084.303243,False,ttl_ok
CANDELARIA,192.168.40.121,BRISAS V.GORGONA,True,False,,,2026-02-02T16:15:21.211648,368481.089946,False,ttl_ok
CANDELARIA,192.168.27.29,TAT COLOMBIANA (CAND),True,False,,,2026-02-02T16:15:21.216309,21565.069924,False,ttl_ok
CANDELARIA,192.168.27.58,REGISTRADURIA (CAND),True,False,,,2026-02-02T16:15:21.216519,368481.094817,False,ttl_ok
CANDELARIA,192.168.40.83,EL ARENAL (CAND),True,False,,,2026-02-02T16:15:21.221539,368481.099837,False,ttl_ok
CANDELARIA,192.168.27.63,GUARDERIA (CAND),True,False,,,2026-02-02T16:15:21.278982,21565.132597,False,ttl_ok
CANDELARIA,192.168.27.50,PARQUE 1 (CAND),True,False,,,2026-02-02T16:15:21.284287,7342.897717,False,ttl_ok
CANDELARIA,192.168.27.54,PELUQUERIA ROSI (CAND),True,False,,,2026-02-02T16:15:21.285726,368481.164024,False,ttl_ok
