segment,ip,alias,active,excluded,hostname,latency,scan_time,estimated_uptime,state_change,ping_reason
AMAIME Y EL PLACER,192.168.12.47,EL GALEON,True,False,,,2026-02-02T08:42:31.375046,,True,ttl_ok
AMAIME Y EL PLACER,192.168.12.41,AMAIME I,True,False,,,2026-02-02T08:42:31.379003,341311.257301,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.27,MALL CENTER AMAIME,True,False,,,2026-02-02T08:42:31.393109,341311.271407,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.37,MERCAHOGAR,True,False,,,2026-02-02T08:42:31.400347,341311.278645,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.65,COOMSAVAL,True,False,,,2026-02-02T08:42:31.403017,341311.281315,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.11,OFICINA PRINCIPAL AMAIME,True,False,,,2026-02-02T08:42:31.409586,341311.287884,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.25,CALLE COMERCIO,True,False,,,2026-02-02T08:42:31.417601,,True,ttl_ok
AMAIME Y EL PLACER,192.168.12.61,LA PALOMERA,True,False,,,2026-02-02T08:42:31.420810,341311.299108,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.53,PORVENIR DE COMFANDI AMAIME,True,False,,,2026-02-02T08:42:31.437126,341311.315424,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.31,LOS PARRALES,True,False,,,2026-02-02T08:42:31.437266,341311.315564,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.71,TIENDA GAVIOTA,True,False,,,2026-02-02T08:42:31.442919,341311.321217,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.67,EL OVIEDO I,True,False,,,2026-02-02T08:42:31.449641,341311.327939,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.45,ESCUELA AMAIME,True,False,,,2026-02-02T08:42:31.449751,341311.328049,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.103,BOYACA,True,False,,,2026-02-02T08:42:31.449885,341311.328183,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.35,TIENDA JOEL,True,False,,,2026-02-02T08:42:31.451714,341311.330012,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.77,CARERRA 3 AMAIME,True,False,,,2026-02-02T08:42:31.473625,341311.351923,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.73,TRIUNFO  II,True,False,,,2026-02-02T08:42:31.473785,,True,ttl_ok
AMAIME Y EL PLACER,192.168.12.23,ANTIGUA PPAL AMAIME,True,False,,,2026-02-02T08:42:31.514394,341311.392692,False,ttl_ok
AMAIME Y EL PLACER,192.168.12.33,EL HOYO,False,False,,,2026-02-02T08:42:34.721026,,False,win_fail_rc=0
AMAIME Y EL PLACER,192.168.22.35,LA PAMPA,False,False,,,2026-02-02T08:42:34.897422,,True,win_fail_rc=0
